# 「基本辞書データ（漢字、自由）.tsv」片山博文MZ
# This file is public domain software.
両親	リョウ方のオヤ。
両足	リョウ方のアシ。
両面印刷	リョウメンインサツ。
中世	封建制度が存在した時代。
中傷	悪口を言う。「誹謗○○」
中南米	チュウナンベイ。
中古品	使用してややフルくなったシナ物。
中古車	使用してややフルくなったクルマ。
中和	酸性とアルカリ性を混ぜると○○する。
中国	チャイナ。
中国人	チュウゴクジン。
中国人旅行客	チュウゴクジンリョコウキャク。
中国人民元	チュウゴクジンミンゲン。
中国人民解放軍	チュウゴクジンミンカイホウグン。
中国人民銀行	チュウゴクジンミンギンコウ。
中国人観光客	チュウゴクジンカンコウキャク。
中国企業	チュウゴクキギョウ。
中国共産党	チュウゴクキョウサントウ。
中国地方	鳥取県・島根県・岡山県・広島県・山口県。
中国政府	チュウゴクセイフ。
中国経済	チュウゴクケイザイ。
中国製	Made in China.
中国語	チュウゴクゴ。
中央	ある物や場所などのまんナカの位置。
中央分離帯	チュウオウブンリタイ。
中央政府	チュウオウセイフ。
中央線	センターライン。
中学受験	チュウガクジュケン。
中学校	小ガッコウの次は？
中学生	チュウガッ校のセイ徒。
中小企業	チュウ規模・ショウ規模のキギョウ。
中年	４０歳前後。
中庭	ナカニワ。
中心	まんナカ。
中心地	まんナカの場所。
中心市街地	チュウオウシガイチ。
中心的存在	チュウシンテキソンザイ。
中性	酸性でもアルカリ性でもない。
中指	まんナカのユビ。
中断	続いている物事を途チュウでタち切ること。
中東	西アジアとアフリカ北東部の総称。
中東地域	チュウトウチイキ。
中東情勢	チュウトウジョウセイ。
中止	物事を途チュウでヤめること。
中毒	ドクにアタること。
中毒死	チュウドクになってシぬこと。
中空	ナカがカラっぽなこと。
中立	対立するどちらの側にも味方しないこと。
中立公正	チュウリツコウヘイ。
中立国	他の国家間の戦争に参加しない国家。
中絶	胎内の子どもを下ろすこと。
中継	ライブ放送。
中華	「世界のチュウ心」を意味する。「○○丼」
中華人民共和国	東アジア最大の国。
中華思想	チュウカシソウ。
中華料理	チュウ国のリョウリ。
中距離	チュウキョリ。
中途採用	チュウトサイヨウ。
中途採用者	チュウトサイヨウシャ。
中部	チュウブ。「○○地方」
中部地方	チュウブチホウ。
中間	物と物の間の空間や位置。「○○地点」
中間報告	チュウカンホウコク。
中間層	チュウカンソウ。
中間所得層	チュウカンショトクソウ。
中間決算	チュウカンケッサン。
中間管理職	チュウカンカンリショク。
中間貯蔵施設	チュウカンチョゾウシセツ。
中間選挙	チュウカンセンキョ。
丸太	皮をはいだだけのマルい木材。「○○小屋」
丸顔	マルガオ。
主人	マスター。
