# 「基本辞書データ（英和、自由）.tsv」片山博文MZ
# This file is public domain software.
basement	地下室。
bases	basisの複数形。
basics	基礎。
basis	基礎。根拠。根拠。
basket	かご。バスケット。かご一杯。
basketball	バスケットボール。
bass	男声の最低音。バス。
bassman	内野手。
bastard	私生児。いやなやつ。
bat	バット。コウモリ。
bath	入浴。水浴。浴槽。風呂場。浴室。
bathe	水泳。水浴。
bathrobe	バスローブ。化粧着。
bathroom	浴室。風呂場。手洗い。
bathtub	湯船。浴槽。
baton	指揮棒。警棒。バトン。
batter	打者。バッター。
battery	電池。バッテリー。
batting	バッティング。打撃。ふとん綿。中いれ綿。
battle	戦闘。闘争。競争。(theをつけて)勝利。
battlefield	戦場。
battleship	戦艦。
bawl	わめき声。
bay	湾。入り江。うなり声。月桂樹。
BBC	イギリス放送協会。
BBQ	バーベキューの略。
BC	西暦紀元前。
beach	海辺。浜。ビーチ。
bead	ビーズ玉。液体のしずく。
beagle	小型の猟犬。ビーグル。
beak	くちばし。
beaker	ビーカー。
beam	光線。輝き。
bean	豆。
bear	クマ。
beard	あごひげ。
bearing	関係。態度。忍耐。ベアリング。
beast	野獣。けもの。
beat	打つこと。打つ音。鼓動。拍子。
beater	打つ人。泡だて器。
beating	打つこと。打ち負かすこと。敗北。
Beatles	(theをつけて)ビートルズ。英国のロックグループ。
beauty	美。美しさ。美人。美しいもの。
beaver	ビーバー。
bed	ベッド。寝床。
bedding	寝具類。
bedroom	寝室。
bedtime	就寝時間。寝る時間。
bee	ミツバチ。ハチ。
beef	牛肉。
beefsteak	ビフテキ。
beehive	ミツバチの巣箱。
beeline	一直線。巣に戻るハチのようにまっすぐ。
beep	ビーッという音。
beer	ビール。
beerhouse	ビアホール。
beetle	甲虫。カブトムシ、クワガタムシなど。
beggar	乞食。物乞い。
beginner	初心者。
beginning	最初。初期。起源。
behavior	振る舞い。行動。行儀。
Beijing	中華人民共和国の首都、北京。
being	存在。生きていること。生き物。
Belgian	ベルギー人。
Belgium	ベルギー。
belief	信念。確信。信仰。信頼。
believer	信じる人。信者。
bell	ベル。鐘。鈴。ベルの音。
belly	腹。``～ dance''は腹をくねらせる踊り。
belongings	持ち物。所持品。
beloved	愛する人。最愛の人。
belt	ベルト。帯。帯状のもの。地帯。
bench	ベンチ。長いす。
bend	曲がること。曲げること。曲がった状態。
benefit	有利。利益。有益。承認。認可。
bent	好み。傾向。性癖。橋脚。忍耐力。
beret	ベレー帽。
Berlin	ベルリン。``the ～ Wall''
best	(theをつけて)最善のもの。
bet	賭け。掛け金。
beverage	飲料。
bias	先入観。偏見。バイアス。
Bible	(theをつけて)聖書。
bicycle	自転車。
bid	入札。付け値。
bidder	入札者。
bike	自転車。バイク。
bill	ビラ。請求書。紙幣。法案。
billboard	掲示板。
billiards	ビリヤード。玉突き。
billion	十億。
bin	ふたのついた箱。
biography	伝記。
biology	生物学。
bird	鳥。
birdie	小鳥ちゃん。ゴルフでparより一打少ない打数。
birth	誕生。出生。血統。
birthday	誕生日。
biscuit	小型丸パン。ビスケット。
bishop	司教。主教。
bit	小片。少量。一口。情報量の最小単位。
bitch	雌犬。
bite	かむこと。かみ傷。一かじり。
bitter	苦さ。苦しみ。苦痛。
bitterness	苦味。苦さ。
black	黒。黒色。黒服。黒人。
blackboard	黒板。
blacklist	ブラックリスト。
blackmail	ゆすり。恐喝。
blackness	黒いこと。暗黒。腹黒さ。
blade	刃。刃物。
blame	とがめ。非難。罪。責任。
blank	空所。空白。白紙。書き込み用紙。
blanket	毛布。
blast	突風。ラッパなどを吹く音。爆破。送風。爆風。
blaze	炎。強い輝き。爆発。
bleach	漂白剤。
blend	混合物。混合。
blender	混ぜるもの。混ぜる人。ミキサー。
blessing	祝福。天の恵み。祈り。
blind	日よけ。ブラインド。
blindfold	目隠し。
blindness	目が見えないこと。盲目。
blink	またたき。きらめき。ちらっと見ること。
block	(木や石などの)かたまり。ブロック。積み木。区間。障害物。
blond	金髪で肌が白く目の青い人。
blood	血。血液。活力。気質。血統。
bloodshed	流血。
bloom	(観賞用の)花。花盛り。最盛期。
blossom	(果樹の)花。開花。開花期。
blot	(インクなどの)よごれ。しみ。汚点。spot。
blouse	ブラウス。仕事着。
blow	一吹き。強打。打撃。
blower	吹く人。送風機。
blue	青色。藍色。
blueprint	青写真。詳細な計画。
bluff	絶壁。断崖。
blur	にじみ。不鮮明。かすみ。くもり。
blush	顔を赤めること。赤面。
board	広くて薄い板。食事。委員会。会議。
boast	誇り。自慢。自慢の種。
boat	ボート。小舟。汽船。船。
body	身体。胴体。死体。主要部。
bodyguard	ボディガード。
bog	沼地。湿地。泥沼。
boil	沸騰。煮沸。
boiler	ボイラー。煮沸器。湯沸かし。
boldness	大胆さ。ずぶとさ。厚かましさ。
bolt	ボルト。ねじくぎ。かんぬき。いなずま。
bomb	爆弾。
bomber	爆撃機。爆撃手。
bond	きずな。結びつき。束縛。接着。債券。契約。
bone	骨。
bonnet	ボンネット。
bonus	ボーナス。賞与。
boo	ブーという叫び声。
booby	間抜け。ばか者。最下位。びり。
book	本。書物。著書。
bookshop	書店。本屋。
bookstore	書店。本屋。
boom	ドーンという音。とどろき。急な人気。ブーム。
boomerang	ブーメラン。
boot	長靴。ブーツ。けること。
booth	売店。屋台。ブース。小部屋。
border	境界。境界線。国境。
borderline	国境線。境界線。
bore	退屈なもの。穴。直径。口径。
bosom	胸。胸部。胸の内。内部。
boss	長。上司。監督。
Boston	マサチューセッツ州の州都ボストン。
both	両方。両者。どちらも。
bother	やっかい。面倒。
bottle	びん。ボトル。
bottom	底。ふもと。根元。根底。びり。
bough	大枝。
bounce	はずみ。はね返り。弾力。
