# 「基本辞書データ（ロシア、自由）.tsv」片山博文MZ
# This file is public domain software.
# ロシアであまり一般的でない単語は削除して下さい。
а
недооценивать
недопустимо
недостаток
недостаточный
недостающий
нежелательный
нежно
нежность
независимый
незаконные
незаметно
незатейливый
незрелый
неизвестный
неинтересный
нейлоновый
некий
некоторые
некоторый
нелепый
нельзя
нелюбимый
немец
немецкий
немного
ненапряжённый
необходимое
необходимости
необходимость
необходимый
необычный
неожидаемый
неожиданно
неожиданный
неопрятный
неосторожным
неотъемлемый
неподвижно
непонятный
непослушный
непохожий
неправильно
неправильный
непрерывно
непригодный
неприятное
неприятности
неприятность
неприятный
неравномерная
нервничать
нервный
нервозный
нервы
нереально
нереальный
нерегулярный
нерка
неровная
неряшливый
несерьёзный
несет
нескладный
несколько
несложный
несмотря
несомненно
нести
несчастливый
несчастный
нет
нетвёрдый
нетерпеливый
неужели
неуклюжий
неумелый
неформальный
нефть
нехватка
нечего
неё
ни
нибудь
ниже
низкий
никак
никакого
никакой
никогда
никто
ними
ниндзя
нисколько
нитей
ничего
ничто
ничуть
но
нобунага
нобунаги
новаторский
новая
новейшее
новейший
новинка
нового
новое
новой
новостей
новости
новостной
новый
ног
нога
ногами
ноги
ногу
нож
ножевые
ноль
номер
нос
носить
носки
ночевка
ночи
ночлег
ночлега
ночлегом
ночной
ночь
ночёвка
нравиться
нравишся
ну
нужда
нуждаться
нужды
нужны
нужный
нужным
нулю
нынешнее
нырять
нью
о
об
оба
обдирать
обе
обед
обеда
обедать
обезьяна
обезьяны
оберегать
обертка
обещает
обещать
обжаренных
обжигаться
обзор
обзора
обидчивый
обитать
обладать
облаков
области
область
облачно
облегчение
облегченный
облик
обложка
обмануть
обмен
обменивать
обменять
обнаружение
обнаруживать
обнаружить
обобщите
ободрять
обожание
обожать
обожаю
обозначение
обойти
обойтись
оборудование
оборудованные
обоснованный
обр
обрадоваться
образ
образец
обратите
обратно
обратный
обращать
обращаться
обращённость
обременённым
обрисовывать
обряд
обслуживания
обувь
обучаться
обучение
обучении
обучения
обходиться
общая
общее
общем
общение
общения
общественный
общество
общий
общим
общительный
объединять
объединяя
объект
объехать
объявление
объявлений
объяснение
объясните
объяснить
объяснять
обычно
обычный
обязанностей
обязательно
обёртывать
овощей
овощи
овощной
овца
оглашаться
огонь
ограниченный
огромная
огромный
огурец
ода
одаренным
одебаться
одеваться
одежда
одеться
одеяние
один
одинокий
одиночестве
одна
однажды
однако
одни
одним
одно
одновременно
одного
одной
одноклассник
однокурсник
одну
одобрение
одобренным
одобрять
одри
ожерелье
оживиться
оживление
ожидание
ожиданиям
ожидать
озвучки
озер
озера
озеро
ознакомление
означает
означающее
ой
оказаться
оказывать
оказываться
оканчивать
окликать
окна
окно
около
окончание
окончания
окончить
окошко
окраина
окраска
окрашиваться
окрестности
окрестность
округ
окружающая
оксфордская
октября
окуривать
оливковом
он
она
они
онлайн
оно
онотам
оон
опаздывать
опасаться
опасный
опера
оперетта
оперный
оперы
описание
описывать
оплата
оплатить
оповещение
опоздание
опоздать
оппозиция
оппонент
оправдаться
определенный
определять
определённо
определённой
определённую
определённый
опросник
опрятный
опубликуйте
опустить
опыт
опыте
опытный
опьянеть
опять
оранжерея
орган
организация
ординарный
оригинал
оригинала
оригинальное
оригинальный
оружие
осака
осведомлённый
освежающий
освежиться
освободить
осенние
осенняя
осень
осенью
ослабеть
осматривать
осмотреть
оснащённый
основа
основанным
основано
основная
основное
основной
основном
основные
основываться
особая
особенно
особенность
особо
особый
остабаться
оставаться
оставить
оставленные
оставлять
остальное
остальной
останавливать
останки
остановиться
остановка
остановки
остаток
остаться
осторожно
осторожным
остров
острова
остроумный
острый
осьминог
осьминога
осёл
от
отбирать
отважный
отваривать
ответ
ответить
ответная
ответный
ответственный
отвечать
отдавать
отдаваться
отдалять
отдаляться
отдать
отделение
отделить
отдельно
отделять
отдохнуть
отдых
отдыха
отдыхать
отдыхающий
отец
отжимание
отзыв
отзывы
отказаться
отказываться
откладывать
отклик
открывать
открываться
открытие
открытка
открытом
открытый
открытым
открыть
открыться
откуда
отличаться
отличающийся
отличительная
отлично
отличное
отличный
отлйчно
отменить
отменять
отметьте
относительно
относиться
отношение
отношении
отношению
отношения
отправить
отправление
отправляться
отпуск
отрицание
отрицательная
отрицательный
отрицать
отсоединять
отсрочка
отсюда
оттенок
отчаянно
отчет
отчёт
отчётное
офис
офисе
офицер
официальная
официально
официальное
официальный
официант
оформление
охмелеть
оценивание
оценка
очарование
очень
очереди
очередь
очищать
очки
ошибка
ощущать
ощущение
ощущениям
падать
падений
пакет
палатки
палец
палка
палки
палочки
пальто
памфлет
памятник
память
панорама
пансион
папа
папирус
пара
парадный
парень
пари
парикмахер
парк
парка
партия
партнёр
парусный
парфюмерной
парча
пасиб
пасибки
пасмурный
пассажир
пассажиров
паста
пасте
пасть
паук
пахнуть
пейзаж
пек
пена
пенсионная
пенсию
первая
первобытные
первой
первоклассный
первоначально
первые
первый
перебодить
перебродившие
перевести
перевод
переводчик
перегруженным
перед
передавать
передаваться
передать
передача
передумал
переживания
перекрывать
перемена
переменяться
перемещаться
переносить
переносной
переночевать
переполненным
перерыв
переселятся
пересмотреть
переставать
перестать
пересылки
пересылку
переход
перец
перечитала
период
периода
периодов
персик
персона
персонаж
персонажа
персонажей
персонала
персонально
персональный
перспективный
перчатки
песчаный
петр
петух
петь
печаль
печатать
печати
печь
пеший
пещера
пещеры
пианино
пиво
пиджак
пик
пикадилли
пиктограмма
пиктограммы
пилот
пингвин
писатель
писать
письма
письмо
питание
питания
питаться
пить
пишут
пищевая
пищевого
плавание
плавать
плакать
план
плана
планета
планировать
пластиковая
плата
платить
платной
платный
платным
плато
платок
платформа
платье
плащ
пленный
плечо
плита
плите
плиты
пловцы
плод
плоскогорье
плохо
площадка
площадки
площадь
плыть
пляж
пляжный
плясать
плёнка
пн
по
победа
победный
побежать
побеждать
побеседовать
поблагодарить
поблизости
побочный
повар
поведение
поверить
повернуть
повернуться
поверх
поверхность
повесить
повесть
повидать
повод
поворачивать
повреждение
повреждённым
повседневная
повседневной
повседневный
повсюду
повтора
повторите
повторить
повторно
повторять
повышенное
повышенный
погибнуть
погода
погоды
погружаться
под
подавать
подарок
подарочная
подать
подвижности
подготовить
подготовлять
поддержания
поддерживать
поддержка
поделаешь
подиимать
подкосились
подлинное
поднимает
поднимать
подниматься
подннматься
подножие
подножия
поднять
подняться
подобный
подозреваемый
подозрение
подойти
подробная
подробно
подробностях
подробный
подруга
подряд
подсолнух
подсчёта
подтверждать
подумайте
подумать
подходит
подходить
подходящие
подходящий
подходящую
подчеркните
подчиняться
подчинённый
подчёркивать
подшучивающий
подъезд
подъем
подъехал
подъёмная
поезд
поезда
поездам
поезде
поездка
поездов
поехать
пожаловать
пожалуйста
пожарная
пожелать
пожилого
пожилой
позвать
позволить
позвонить
поздний
поздно
позитивный
позиция
познакомиться
поиск
поискать
поистине
пойти
пока
показанным
показательное
показательный
показать
показаться
показывать
показываться
поколение
покончить
покраснела
покрывать
покрыт
покрытие
покупать
покупка
покупки
покушение
пол
полагать
полагаться
полгода
полдня
поле
полезная
полезные
полезным
поливать
политик
политический
полицейский
полиция
полка
полковник
полководец
полная
полнеть
полностью
полноты
полночь
полный
поло
половина
положение
положении
положенный
положительная
положительные
положительный
положить
положиться
полом
полоса
полотенце
полудня
полуостров
получать
получаться
получила
получилось
получить
получиться
польза
пользователь
пользователя
пользоваться
пользующийся
пометьте
помеченные
помешать
помещаемых
помещать
помещаться
помидор
помнить
помню
помогать
помогите
помочь
помощь
понедельник
понижать
понимание
понимать
пониматься
понравиться
пончик
понятно
понять
пообедать
поощрять
попадать
попасть
пополнить
попробовать
попробуйте
попросить
популярное
популярности
популярность
популярный
популярным
попытка
пор
пора
