# ただいま作成中。。。
共演	きょうえん。
強化	きょうか。
協会	きょうかい。
教会	きょうかい。
恐喝	きょうかつ。
教官	きょうかん。
共感	きょうかん。
凶器	きょうき。
競技	きょうぎ。
教訓	きょうくん。
境遇	きょうぐう。
強固	きょうこ。
教材	きょうざい。
家庭教師	かていきょうし。
教師	きょうし。
教室	きょうしつ。
教授	きょうじゅ。
強制	きょうせい。
競争	きょうそう。
強打	きょうだ。
兄弟	きょうだい。
姉妹	しまい。
共通	きょうつう。
協定	きょうてい。
強敵	きょうてき。
強度	きょうど。
共同	きょうどう。
脅迫	きょうはく。
共犯	きょうはん。
競売	きょうばい。
恐怖	きょうふ。
胸部	きょうぶ。
共謀	きょうぼう。
興味	きょうみ。
共鳴	きょうめい。
教諭	きょうゆ。
共有	きょうゆう。
教養	きょうよう。
強烈	きょうれつ。
許可証	きょかしょう。
巨漢	きょかん。
巨額	きょがく。
虚偽	きょぎ。
曲芸	きょくげい。
曲線	きょくせん。
極度	きょくど。
局面	きょくめん。
曲面	きょくめん。
挙式	きょしき。
挙手	きょしゅ。
虚弱体質	きょじゃくたいしつ。
居住地	きょじゅうち。
巨人	きょじん。
拒絶反応	きょぜつはんのう。
巨体	きょたい。
拠点	きょてん。
去年	きょねん。
拒否権	きょひけん。
挙兵	きょへい。
巨木	きょぼく。
許容範囲	きょようはんい。
距離	きょり。
長距離	ちょうきょり。
短距離	たんきょり。
気楽	きらく。
気力	きりょく。
記録計	きろくけい。
均一	きんいつ。
百均	ひゃっきん。
金運	きんうん。
金貨	きんか。
金額	きんがく。
近眼	きんがん。
緊急地震速報	きんきゅうじしんそくほう。
緊急連絡先	きんきゅうれんらくさき。
金魚	きんぎょ。
禁句	きんく。
金欠	きんけつ。
金庫	きんこ。
金山	きんざん。
禁止	きんし。
均質	きんしつ。
近日公開	きんじつこうかい。
近所	きんじょ。
金銭感覚	きんせんかんかく。
金属	きんぞく。
金属音	きんぞくおん。
近代化	きんだいか。
禁断	きんだん。
緊張	きんちょう。
均等	きんとう。
筋肉	きんにく。
近年	きんねん。
金歯	きんば。
金箔	きんぱく。
金髪	きんぱつ。
散髪	さんぱつ。
勤勉	きんべん。
金脈	きんみゃく。
勤務表	きんむひょう。
勤務先	きんむさき。
禁物	きんもつ。
金融商品	きんゆうしょうひん。
金曜	きんよう。
金利	きんり。
低金利	ていきんり。
筋力	きんりょく。
勤労感謝	きんろうかんしゃ。
議員	ぎいん。
議会	ぎかい。
儀式	ぎしき。
技術力	ぎじゅつりょく。
技術者	ぎじゅつしゃ。
犠牲者	ぎせいしゃ。
偽造罪	ぎぞうざい。
議題	ぎだい。
議長	ぎちょう。
技法	ぎほう。
偽名	ぎめい。
逆算	ぎゃくさん。
虐待	ぎゃくたい。
逆転	ぎゃくてん。
逆風	ぎゃくふう。
牛肉	ぎゅうにく。
業界	ぎょうかい。
行儀	ぎょうぎ。
業者	ぎょうしゃ。
業種	ぎょうしゅ。
行事	ぎょうじ。
行政	ぎょうせい。
業績	ぎょうせき。
仰天	ぎょうてん。
業務連絡	ぎょうむれんらく。
行列	ぎょうれつ。
漁業	ぎょぎょう。
漁場	ぎょじょう。
漁船	ぎょせん。
魚肉	ぎょにく。
魚雷	ぎょらい。
魚類	ぎょるい。
銀貨	ぎんか。
銀河系	ぎんがけい。
銀杏	ぎんなん。
区域	くいき。
空間	くうかん。
